url,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,req_type_num,hanjian_host_num,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.tesia.it,14,0,5,0,8,1,9,0.888888,2,1,2,0,1,0,0,0,0,0,1
http://www.ostsee-schnack.de,22,0,6,1,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0
http://www.szinhaz.hu,16,0,5,0,33,2,35,0.942857,4,2,9,0,3,0,0,0,0,0,2
http://www.technix.it,16,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
http://www.reifen-simon.com,21,0,6,1,13,3,16,0.8125,9,7,0,0,1,0,0,0,0,0,1
http://www.scantanzania.com,22,0,5,0,53,5,58,0.913793,3,1,0,0,0,0,0,0,0,0,0
http://www.gov.f3322.net:1717,14,8,7,0,1,215,216,0.00462,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.huecobi.de,16,0,5,0,8,723,731,0.0119439,10,4,0,0,0,0,0,0,0,0,0
http://www.cennoworld.com,20,0,5,0,8,723,731,0.0119439,10,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.healthybloodpressure.info,31,0,5,0,1,0,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.betterhomeandgardenideas.com,34,0,5,0,0,1,1,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.srimahaphotschool.com,27,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.yigitakcali.com,21,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.wonderph.com,18,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.soyter.pl,15,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.shean76.net,15,2,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.tazzatti.com,18,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.hitekshop.vn,18,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.ozowarac.com,18,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.cennoworld.com,20,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.goooglesecurity.com,25,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.mangiamando.com,21,0,5,0,78,8,86,0.9069,7,2,1,0,10,2,1,0,0,0,0
http://www.wohnmoebel-blog.de,23,0,6,1,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.agrimont.cz,17,0,5,0,78,8,86,0.9069,7,2,0,0,1,0,0,0,0,0,0
http://www.schluckspecht.com,23,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.lambrusco.it,18,0,5,0,78,8,86,0.9069,7,2,0,0,4,1,0,0,0,0,3
http://www.eeps.me,13,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.megatron.ch,17,0,5,0,78,8,86,0.9069,7,2,0,0,2,0,0,0,0,0,0
http://www.eielectronics.ie,22,0,5,0,78,8,86,0.9069,7,2,5,0,0,2,1,0,0,0,0
http://www.bvb-fanabteilung.de,24,0,6,1,78,8,86,0.9069,7,2,2,0,2,0,0,0,0,0,0
http://www.drteachme.com,19,0,5,0,78,8,86,0.9069,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.carvoeiro.com,19,0,5,0,78,8,86,0.9069,7,2,4,0,0,0,0,0,0,0,0
http://www.wiiux.de,14,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.syes.eu,13,0,5,0,78,8,86,0.9069,7,2,0,1,0,0,0,0,0,0,0
http://www.imagerieduroc.com,23,0,5,0,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
http://www.summonerswarskyarena.info,31,0,5,0,78,8,86,0.9069,7,2,0,0,4,0,0,0,0,0,1
http://www.cc-isobus.com,18,0,6,1,78,8,86,0.9069,7,2,0,0,0,0,0,0,0,0,0
